,Key,Count
0,openstack,651014
1,nova,287334
2,use,249333
3,instal,240243
4,tri,220621
5,creat,142035
6,instanc,109127
7,neutron,107532
8,run,106887
9,servic,103269
10,api,102380
11,error,100571
12,file,96850
13,imag,93018
14,get,83895
15,heat,80093
16,node,77375
17,python,75399
18,want,74598
19,glanc,73949
20,comput,73552
21,network,73424
22,command,72265
23,horizon,71895
24,devstack,69993
25,server,68397
26,set,68041
27,code,67733
28,need,66952
29,cinder,65912
30,ip,65430
31,follow,65349
32,ubuntu,64655
33,deploy,62770
34,work,62692
35,new,62607
36,keyston,61863
37,py,60077
38,list,57839
39,http,56523
40,setup,55297
41,line,52250
42,stack,51955
43,packag,51156
44,lib,50849
45,like,49530
46,one,49101
47,cloud,48642
48,configur,48364
49,usr,47877
50,id,47838
51,os,47154
52,vm,45312
53,look,43623
54,version,43260
55,name,42012
56,log,41262
57,type,40417
58,user,39530
59,volum,37650
60,templat,36937
61,would,36788
62,test,36185
63,problem,35883
64,https,35304
65,client,35092
66,local,34012
67,open,33107
68,swift,33080
69,control,33002
70,manag,32794
71,add,32613
72,doc,32289
73,start,31483
74,etc,31444
75,org,31186
76,check,31036
77,answer,29714
78,enabl,29584
79,trace,29434
80,pre,29378
81,com,28953
82,default,28707
83,chang,28383
84,docker,27075
85,icehous,26939
86,host,26503
87,self,26312
88,machin,26202
89,resourc,26146
90,found,26135
91,possibl,25987
92,juno,25681
93,make,25663
94,request,25175
95,fail,25029
96,sh,24848
97,cento,24641
98,environ,24557
99,releas,24486
100,issu,24463
101,abl,24021
102,access,23748
103,know,23718
104,connect,23602
105,password,23421
106,ad,23121
107,provid,23041
108,openst,23006
109,boot,22964
110,url,22924
111,plugin,22922
112,port,22893
113,driver,22852
114,float,22736
115,question,22694
116,support,22675
117,dashboard,22644
118,net,22442
119,kilo,22287
120,way,22242
121,see,22212
122,interfac,22119
123,two,21906
124,auth,21597
125,db,21596
126,sourc,21434
127,root,21409
128,current,21400
129,messag,21394
130,data,21271
131,site,21077
132,script,20875
133,project,20709
134,liberti,20531
135,conf,20360
136,jcloud,20357
137,dist,20259
138,cluster,20107
139,agent,20063
140,mean,19862
141,return,19663
142,rpc,19439
143,address,19382
144,give,19032
145,common,18569
146,status,18477
147,group,18410
148,compon,18355
149,init,18342
150,admin,18308
151,bug,18079
152,github,18034
153,also,17755
154,gt,17720
155,requir,17708
156,success,17645
157,updat,17461
158,system,17452
159,think,17394
160,al,17254
161,opt,17065
162,first,16989
163,option,16872
164,config,16829
165,key,16684
166,call,16580
167,op,16536
168,go,16519
169,true,16411
170,download,16409
171,tenant,16256
172,dev,16153
173,havana,16091
174,step,16072
175,integr,16047
176,help,16009
177,find,15946
178,fuel,15870
179,endpoint,15813
180,via,15590
181,build,15576
182,develop,15531
183,class,15463
184,remov,15455
185,properti,15225
186,recent,15202
187,modul,15161
188,li,15159
189,launch,15104
190,secur,15063
191,br,15002
192,debug,14936
193,contain,14809
194,could,14720
195,token,14666
196,state,14657
197,json,14652
198,differ,14615
199,object,14613
200,th,14464
201,oslo,14414
202,descript,14370
203,attach,14149
204,import,14016
205,ceilomet,13936
206,assign,13880
207,show,13761
208,insid,13724
209,info,13627
210,router,13605
211,public,13600
212,ha,13451
213,anyon,13385
214,flavor,13323
215,seem,13252
216,applic,13241
217,link,13201
218,lt,13197
219,delet,13070
220,exec,13047
221,well,12979
222,insta,12952
223,ope,12942
224,say,12926
225,openstac,12923
226,virtual,12909
227,git,12801
228,execut,12699
229,wsgi,12608
230,newton,12598
231,exampl,12501
232,base,12433
233,store,12425
234,proxi,12337
235,solv,12324
236,valu,12220
237,master,12191
238,put,12120
239,storag,12108
240,time,12081
241,shell,12043
242,sahara,11929
243,inst,11925
244,write,11876
245,fix,11829
246,kvm,11826
247,guid,11779
248,co,11758
249,rdo,11756
250,take,11708
251,dhcp,11643
252,se,11583
253,activ,11576
254,haproxi,11501
255,tempest,11446
256,ident,11365
257,req,11267
258,without,11197
259,cli,11062
260,avail,10982
261,restart,10981
262,good,10958
263,rhel,10957
264,ssh,10927
265,specifi,10791
266,pleas,10738
267,manifest,10679
268,snapshot,10635
269,var,10616
270,fine,10600
271,share,10568
272,unabl,10550
273,metadata,10538
274,read,10500
275,document,10458
276,kubernet,10370
277,hi,10312
278,devic,10298
279,load,10276
280,custom,10231
281,arg,10226
282,specif,10211
283,authent,10178
284,sure,10129
285,opensta,10089
286,app,10041
287,bin,10032
288,privat,10025
289,eth,9983
290,got,9872
291,understand,9811
292,valid,9760
293,none,9754
294,mysql,9681
295,still,9544
296,exist,9517
297,correct,9516
298,singl,9451
299,def,9412
300,larg,9397
301,accord,9300
302,disk,9280
303,orchestr,9214
304,refer,9207
305,day,9198
306,limit,9165
307,implement,9098
308,ok,9088
309,schedul,9081
310,inform,9072
311,introduc,9062
312,someth,9027
313,pull,9000
314,provis,8975
315,case,8930
316,simpli,8921
317,apach,8914
318,cd,8894
319,sch,8807
320,thank,8797
321,play,8788
322,newbi,8759
323,size,8750
324,may,8747
325,namespac,8735
326,apt,8726
327,sqlalchemi,8705
328,path,8703
329,instan,8623
330,cloudferri,8614
331,ask,8614
332,section,8612
333,power,8502
334,virt,8498
335,cpu,8493
336,grizzli,8455
337,solut,8450
338,consol,8449
339,mount,8373
340,ov,8280
341,detail,8278
342,format,8246
343,simpl,8239
344,old,8239
345,cirro,8219
346,ff,8194
347,core,8188
348,warn,8181
349,pass,8153
350,middlewar,8137
351,alreadi,8131
352,dispatch,8127
353,rabbit,8124
354,hello,8124
355,intern,8097
356,util,8089
357,output,7992
358,int,7980
359,packstack,7969
360,architectur,7947
361,directori,7930
362,except,7887
363,interv,7782
364,subnet,7774
365,depend,7761
366,probabl,7758
367,context,7711
368,direct,7692
369,vagrant,7658
370,post,7609
371,relat,7606
372,general,7578
373,model,7567
374,st,7554
375,hot,7551
376,program,7548
377,hypervisor,7537
378,certain,7534
379,featur,7511
380,migrat,7485
381,chef,7478
382,login,7447
383,kwarg,7400
384,happen,7356
385,failur,7343
386,last,7330
387,cond,7319
388,late,7274
389,paramet,7271
390,addit,7270
391,action,7211
392,strong,7186
393,runnin,7178
394,extens,7178
395,longtext,7176
396,builder,7167
397,send,7159
398,howev,7153
399,upload,7147
400,window,7140
401,en,7127
402,guest,7077
403,end,7054
404,result,7024
405,bind,7022
406,thing,6998
407,modifi,6962
408,sudo,6958
409,rest,6943
410,screen,6933
411,vms,6912
412,django,6876
413,param,6858
414,clone,6847
415,everi,6816
416,fedora,6814
417,ping,6796
418,trove,6769
419,field,6757
420,fals,6739
421,puppet,6735
422,basic,6733
423,content,6683
424,allow,6662
425,rabbitmq,6657
426,yaml,6596
427,cannot,6582
428,html,6577
429,sinc,6576
430,us,6569
431,domain,6544
432,task,6519
433,complet,6519
434,tabl,6502
435,sync,6495
436,vol,6479
437,ceph,6478
438,jenkin,6457
439,ca,6451
440,filter,6438
441,ec,6379
442,blob,6377
443,backend,6351
444,reason,6321
445,generat,6316
446,redirect,6302
447,multipl,6298
448,confus,6284
449,bridg,6243
450,grep,6213
451,folsom,6192
452,oper,6184
453,libvirt,6172
454,turn,6148
455,respond,6101
456,databas,6093
457,main,6086
458,em,6053
459,function,6051
460,essex,6028
461,includ,5993
462,today,5991
463,extern,5982
464,kube,5932
465,sed,5909
466,maa,5889
467,con,5855
468,ovf,5854
469,most,5837
470,job,5823
471,web,5808
472,offic,5801
473,familiar,5799
474,seek,5779
475,mac,5769
476,tool,5763
477,upgrad,5762
478,multi,5761
479,fo,5758
480,nod,5754
481,ubu,5750
482,apa,5743
483,wikipedi,5741
484,severa,5741
485,chec,5741
486,review,5739
487,home,5716
488,credenti,5715
489,either,5699
490,respons,5679
491,static,5633
492,associ,5609
493,tripleo,5605
494,eb,5590
495,disabl,5583
496,openvswitch,5581
497,rule,5566
498,actual,5563
499,ansibl,5532
500,rout,5492
501,edit,5452
502,yes,5438
503,div,5427
504,span,5415
505,obj,5415
506,variabl,5392
507,de,5377
508,nov,5369
509,string,5286
510,usernam,5255
511,realli,5255
512,given,5245
513,caus,5234
514,gb,5218
515,past,5149
516,physic,5133
517,might,5133
518,traceback,5131
519,polici,5128
520,sampl,5105
521,long,5101
522,stop,5093
523,previous,5057
524,three,5047
525,small,5019
526,cell,5012
527,assum,5011
528,wrong,4997
529,dc,4987
530,nfs,4952
531,panel,4945
532,least,4938
533,ac,4932
534,linux,4927
535,process,4926
536,ae,4910
537,bash,4900
538,novacli,4889
539,alloc,4856
540,quota,4806
541,packet,4806
542,firewal,4771
543,im,4766
544,export,4763
545,locat,4719
546,ci,4697
547,deprec,4693
548,situat,4686
549,exit,4665
550,serv,4651
551,alarm,4642
552,spec,4641
553,engin,4629
554,isol,4614
555,strang,4602
556,written,4600
557,ce,4600
558,nic,4581
559,altern,4581
560,learn,4574
561,queri,4573
562,argument,4573
563,autosc,4572
564,pid,4570
565,fe,4568
566,cpus,4527
567,receiv,4525
568,matter,4513
569,role,4511
570,txt,4510
571,sdk,4491
572,method,4489
573,man,4486
574,research,4474
575,fa,4458
576,diablo,4452
577,typic,4444
578,ex,4441
579,defin,4440
580,auto,4419
581,input,4415
582,among,4412
583,fi,4409
584,df,4406
585,order,4405
586,pool,4398
587,bill,4394
588,book,4381
589,account,4380
590,ge,4357
591,appear,4356
592,libcloud,4355
593,aka,4355
594,iaa,4352
595,copi,4346
596,wait,4343
597,aspect,4340
598,non,4337
599,due,4328
600,ar,4317
601,ass,4313
602,ubun,4312
603,neu,4310
604,aga,4310
605,incept,4309
606,foll,4309
607,templ,4308
608,identi,4308
609,instea,4306
610,horizo,4306
611,venv,4304
612,ref,4298
613,spawn,4290
614,mode,4290
615,memori,4271
616,keystonecli,4251
617,right,4218
618,second,4213
619,total,4206
620,reboot,4192
621,everyth,4183
622,per,4167
623,cfg,4164
624,byte,4141
625,ml,4131
626,www,4129
627,zone,4089
628,uuid,4065
629,cach,4061
630,qcow,4049
631,branch,4047
632,yum,4042
633,let,4036
634,href,4036
635,mani,4029
636,move,4016
637,sys,3994
638,design,3983
639,java,3953
640,termin,3951
641,internet,3908
642,systemd,3895
643,vlan,3887
644,present,3877
645,replac,3869
646,save,3863
647,space,3854
648,env,3853
649,skip,3850
650,attribut,3823
651,miss,3817
652,handl,3800
653,much,3795
654,header,3772
655,iron,3771
656,null,3767
657,instead,3765
658,fd,3763
659,number,3743
660,retriev,3722
661,scope,3720
662,pci,3699
663,enter,3697
664,bit,3697
665,balanc,3695
666,expir,3694
667,fetch,3686
668,curl,3680
669,communic,3670
670,stuck,3664
671,resiz,3663
672,ext,3660
673,demo,3627
674,aw,3608
675,label,3605
676,openstackcli,3599
677,critic,3594
678,debian,3586
679,logic,3575
680,high,3568
681,patch,3563
682,bb,3558
683,mention,3548
684,topic,3545
685,repo,3539
686,tag,3536
687,nat,3530
688,virtualbox,3520
689,commit,3513
690,miranti,3502
691,reset,3472
692,aa,3458
693,map,3439
694,exact,3438
695,ab,3411
696,ran,3407
697,legaci,3407
698,determin,3402
699,far,3401
700,goe,3396
701,session,3393
702,attempt,3388
703,manual,3362
704,expect,3361
705,real,3357
706,rubi,3355
707,verifi,3354
708,choos,3352
709,consid,3339
710,quickstart,3325
711,ba,3316
712,novnc,3313
713,anoth,3313
714,vendor,3312
715,lbaa,3297
716,cc,3295
717,af,3295
718,recommend,3294
719,rather,3283
720,egg,3282
721,res,3276
722,infra,3276
723,fc,3272
724,pp,3266
725,hint,3265
726,point,3249
727,believ,3242
728,tutori,3235
729,necessari,3233
730,bring,3230
731,timeout,3225
732,openrc,3220
733,bc,3219
734,offici,3218
735,dns,3215
736,rais,3213
737,world,3212
738,succeed,3209
739,wget,3196
740,quick,3191
741,bd,3188
742,launchpad,3187
743,various,3167
744,iso,3164
745,gui,3164
746,sha,3163
747,interest,3160
748,juju,3156
749,setuptool,3152
750,talk,3149
751,discuss,3148
752,coupl,3140
753,part,3138
754,said,3137
755,behind,3131
756,week,3130
757,cb,3119
758,awk,3118
759,rackspac,3117
760,tcp,3113
761,meta,3111
762,initi,3104
763,entir,3103
764,sriov,3101
765,err,3089
766,creation,3083
767,global,3081
768,upon,3080
769,advis,3080
770,nginx,3077
771,bf,3074
772,reg,3072
773,crt,3072
774,card,3072
775,mb,3069
776,perfect,3066
777,ini,3066
778,contrail,3064
779,instanti,3059
780,passthrough,3058
781,match,3042
782,major,3042
783,pdf,3039
784,back,3038
785,temporari,3035
786,vmware,3024
787,ralli,3020
788,newer,3014
789,rejoin,3002
790,repres,2995
791,extra,2994
792,vdi,2991
793,nailgun,2991
794,cloudform,2984
795,hd,2976
796,xxx,2973
797,cr,2973
798,ea,2971
799,met,2968
800,hide,2957
801,member,2953
802,block,2952
803,da,2949
804,cert,2945
805,ru,2940
806,gateway,2939
807,enviro,2939
808,ef,2938
809,sc,2937
810,amqp,2936
811,guarante,2934
812,sig,2933
813,gssapi,2933
814,cont,2932
815,ap,2925
816,pro,2922
817,stackoverflow,2921
818,succes,2918
819,trial,2915
820,mo,2912
821,gl,2909
